name,nationality,positions,overall,pace,shooting,passing,dribbling,defending,physical
Daichi Kamada,Japan,CAM|CM,78,72,72,78,80,46,60
Junya Ito,Japan,RW,78,86,72,68,80,34,60
Yuki Soma,Japan,RW|LW,74,84,68,64,78,30,58
Sardar Azmoun,Iran,ST,78,76,78,60,70,30,74
Mehdi Taremi,Iran,ST,80,72,80,68,76,34,74
Ali Al-Bulayhi,Saudi Arabia,CB,74,64,38,60,54,75,76
Salem Al-Dawsari,Saudi Arabia,LW,78,80,76,74,82,34,60
Firas Al-Buraikan,Saudi Arabia,ST,74,74,74,58,68,30,72
Craig Goodwin,Australia,LW|LB,74,78,68,68,74,44,66
Mathew Leckie,Australia,RW|ST,73,80,68,62,74,32,64
Mitchell Duke,Australia,ST,71,66,72,54,62,30,76
Diogo Costa,Portugal,GK,83,46,20,68,50,20,78
Nuno Santos,Portugal,LW,76,80,70,68,78,32,60
Pepe,Portugal,CB,78,58,42,64,56,82,78
Ruben Neves,Portugal,CM|CDM,82,62,76,82,80,70,72
Joao Cancelo,Portugal,RB|LB,84,82,62,82,84,74,68
Renato Sanches,Portugal,CM,78,78,68,74,78,62,76
Francisco Trincao,Portugal,RW|LW,78,82,70,72,80,32,58
Evanilson,Portugal,ST,79,76,78,62,74,32,74
Jordan Henderson,England,CM|CDM,77,62,66,78,74,68,72
Owen Wijndal,Netherlands,LB,76,78,48,68,70,70,64
Jordan Teze,Netherlands,RB|CB,77,76,46,70,68,74,68
Calvin Stengs,Netherlands,RW|CAM,78,78,74,76,80,34,60
Quilindschy Hartman,Netherlands,LB,76,82,46,68,70,70,64
Mert Gunok,Turkey,GK,78,42,18,60,44,18,76
Zeki Celik,Turkey,RB,77,78,50,66,68,74,72
Irfan Can Kahveci,Turkey,CAM|CM,77,70,72,76,78,44,62
Cengiz Under,Turkey,RW,76,82,70,68,78,32,58
Barış Alper Yılmaz,Turkey,RW|ST,78,88,72,64,78,32,68
John McGinn,Scotland,CM,79,74,74,76,78,64,74
Ryan Christie,Scotland,CAM|CM,76,70,72,76,78,54,62
Ryan Porteous,Scotland,CB,74,68,38,60,54,76,76
Grant Hanley,Scotland,CB,74,62,38,60,52,76,76
Ben Doak,Scotland,RW,74,88,66,64,80,30,58
Daniel James,Wales,RW|LW,76,90,68,66,78,30,60
Aaron Ramsey,Wales,CM|CAM,75,66,70,76,76,56,62
Brennan Johnson,Wales,RW|ST,79,88,74,66,80,32,64
David Turnbull,Scotland,CAM|CM,73,66,70,74,76,46,58
Jonny Evans,Northern Ireland,CB,74,58,36,62,54,76,74
Shayne Lavery,Northern Ireland,ST,68,70,68,50,60,28,72
Evan Ferguson,Ireland,ST,78,78,78,60,74,30,76
Nathan Collins,Ireland,CB,78,70,40,64,58,79,80
Chiedozie Ogbene,Ireland,RW|ST,73,88,66,58,74,32,74
Julian Weigl,Germany,CDM|CB,78,60,54,76,72,76,68
Sebastian Rode,Germany,CM|CDM,76,58,58,74,70,72,70
Ansgar Knauff,Germany,RW|RB,76,84,66,68,76,42,62
Jonas Hofmann,Germany,RM|CAM,79,74,74,78,78,50,64
Jae-sung Lee,South Korea,CAM|CM,77,72,72,76,78,54,66
Marvin Ducksch,Germany,ST,78,68,78,62,70,30,74
Mitchell Weiser,Germany,RM|RWB,78,78,66,76,76,62,68
Andrej Kramaric,Croatia,ST|CAM,79,70,78,72,78,34,66
Pau Lopez,Spain,GK,78,44,18,64,46,18,76
Kevin Trapp,Germany,GK,80,44,18,66,48,18,76
Hugo Larsson,Sweden,CM|CDM,77,74,64,76,76,68,68
Nathaniel Brown,Germany,LB,73,78,42,64,66,68,62
Farid Alfa-Ruprecht,Germany,ST,68,78,66,52,66,26,66
Sasa Kalajdzic,Austria,ST,77,62,78,58,66,30,82
Christoph Baumgartner,Austria,CAM|CM,79,68,74,78,78,52,64
David Alaba,Austria,CB|LB,82,68,52,78,76,80,72
Xaver Schlager,Austria,CM|CDM,79,74,62,76,76,72,70
Konstantinos Tsimikas,Greece,LB|LWB,79,78,52,74,74,74,68
Giorgos Giakoumakis,Greece,ST,76,68,76,58,66,28,78
Georgios Masouras,Greece,RW,74,78,68,66,76,32,60
Jakub Kiwior,Poland,CB|LB,78,72,42,68,66,78,76
Sebastian Szymanski,Poland,CAM|CM,78,72,72,78,80,46,60
Nicola Zalewski,Poland,LM|LWB,76,78,62,72,76,60,60
Adam Buksa,Poland,ST,74,66,74,54,62,28,78
Robin Olsen,Sweden,GK,78,44,18,62,46,18,76
Emil Forsberg,Sweden,CAM|LW,80,70,76,82,82,44,62
Anthony Elanga,Sweden,LW|RW,79,92,70,68,80,32,62
Isak Hien,Sweden,CB,76,70,38,62,56,78,76
Denis Vavro,Slovakia,CB,76,68,38,60,54,76,76
Stanley N'Soki,France,CB|LB,72,76,36,62,62,72,70
Habib Diallo,Senegal,ST,76,72,76,58,68,30,76
Nampalys Mendy,Senegal,CDM,73,62,50,68,66,74,68
Krepin Diatta,Senegal,RW|RM,78,84,70,70,80,36,64
Boulaye Dia,Senegal,ST,77,76,76,60,70,30,72
Pape Matar Sarr,Senegal,CM|CDM,78,76,62,74,78,68,66
